"dataset","Patient_ID","Timepoint","cluster","Cell_Type","n_subtypes","original_subtypes"
"SMC","OB_0237","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0261","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0261","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0273","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0273","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0315","Biopsy","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0315","Surgery","C1","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0344","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0344","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"NKI","2046","Biopsy","C2","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2046","Surgery","C2","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2271","Biopsy","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2271","Surgery","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2472","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2472","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2492","Biopsy","C2","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2492","Surgery","C2","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2653","Biopsy","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2653","Surgery","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2661","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2661","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2677","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2677","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2691","Biopsy","C2","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2691","Surgery","C2","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2739","Biopsy","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2739","Surgery","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2789","Biopsy","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2789","Surgery","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2817","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2817","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2852","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2852","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2976","Biopsy","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","2976","Surgery","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3001","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3001","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3036","Biopsy","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3036","Surgery","C3","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3065","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3065","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3067","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3067","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3130","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3130","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3161","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","3161","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","97","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"NKI","97","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"SMC","OB_0001","Biopsy","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
"SMC","OB_0001","Surgery","C1","T cell CD8+ (aggregated)",4,"T cell CD8+ + T cell CD8+ central memory + T cell CD8+ effector memory + T cell CD8+ naive"
